StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;RoundID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;Repetition;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;Clockwise;DominantHand;TouchID;Outset;Goal;CrossTargets
StudyID;UserID;Age;Gender;PlayingHand;TargetSize;TargetDistance;ColliderSize;HitType;TargetID;;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;;;LiftX;LiftY;TouchOffsetX;TouchOffsetY;LiftOffsetX;LiftOffsetY;TouchDuration;;;;Delay;TargetCombination;DominantEye;LongNails;MistakeOccured;;DominantHand;TouchID;Outset;Goal;CrossTargets
11;1;22;FALSE;R;6;40.00001;18;Center;14;;70.30353;70.34167;0.5374146;98.52122;53.10909;;;99.09849;52.53181;0.5772705;-0.5772743;0.5772705;-0.5772743;0.03814697;;;;1;WE;R;No;No;;R;43;W;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;14;;70.94495;70.9776;0.6414185;138.5212;53.10909;;;138.353;52.14697;-0.1681824;-0.9621201;-0.1681824;-0.9621201;0.03265381;;;;1;WE;R;No;No;;R;44;W;E;True
11;1;22;FALSE;R;6;-1;18;Outset;15;;72.9942;73.06067;2.049255;98.52122;13.10909;;;101.8422;13.66212;2.501511;0.553031;3.320953;0.553031;0.06646729;;;;1;SS;R;No;No;;R;45;S;S;True
11;1;22;FALSE;R;6;40;18;Center;15;;73.6748;73.7475;0.680603;98.52122;53.10909;;;102.5658;54.65214;3.84848;1.346973;4.044556;1.543049;0.07269287;;;;1;SS;R;No;No;;R;46;S;S;True
11;1;22;FALSE;R;6;40;18;Goal;15;;74.59662;74.64301;0.921814;98.52122;13.10909;;;100.6439;13.27727;0.7696915;0.1681814;2.122673;0.1681814;0.04638672;;;;1;SS;R;No;No;;R;47;S;S;True
11;1;22;FALSE;R;6;-1;18;Outset;16;;76.43225;76.48492;1.835632;98.52122;13.10909;;;98.7219;13.27727;0;0.1681814;0.2006836;0.1681814;0.05267334;;;;1;SE;R;No;No;;R;48;S;E;True
11;1;22;FALSE;R;6;40;18;Center;16;;76.96979;77.03491;0.5375366;98.52122;53.10909;;;99.69971;56.3803;0.9621201;3.271214;1.178497;3.271214;0.06512451;;;;1;SE;R;No;No;;R;49;S;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;16;;77.46777;77.52332;0.4979858;138.5212;53.10909;;;138.95;55.41818;0.2166595;2.309093;0.4287567;2.309093;0.05554199;;;;1;SE;R;No;No;;R;50;S;E;True
11;1;22;FALSE;R;6;-1;18;Outset;17;;79.2088;79.24683;1.741028;138.5212;53.10909;;;140.8545;55.61061;2.333328;2.501518;2.333328;2.501518;0.0380249;;;;1;EE;R;No;No;;R;51;E;E;True
11;1;22;FALSE;R;6;39.99999;18;Center;17;;79.81659;79.86163;0.6077881;98.52122;53.10909;;;100.1568;53.30151;1.346962;0.1924248;1.635597;0.1924248;0.04504395;;;;1;EE;R;No;No;;R;52;E;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;17;;80.67468;80.73682;0.8580933;138.5212;53.10909;;;140.4697;50.60757;1.948486;-2.501514;1.948486;-2.501514;0.06213379;;;;1;EE;R;No;No;;R;53;E;E;True
11;1;22;FALSE;R;6;-1;18;Outset;18;;82.3858;82.42468;1.711121;138.5212;53.10909;;;138.7379;51.18485;0.2166595;-1.92424;0.2166595;-1.92424;0.03887939;;;;1;EW;R;No;No;;R;54;E;W;True
11;1;22;FALSE;R;6;39.99999;18;Center;18;;82.96948;83.02472;0.5836792;98.52122;53.10909;;;97.55909;55.85484;-1.154556;2.309093;-0.9621277;2.745754;0.05523682;;;;1;EW;R;No;No;;R;55;E;W;True
11;1;22;FALSE;R;6;40.00001;18;Goal;18;;83.61139;83.66376;0.6419067;58.52121;53.10909;;;62.05682;56.18788;3.246971;3.078789;3.535606;3.078789;0.05236816;;;;1;EW;R;No;No;;R;56;E;W;True
11;1;22;FALSE;R;6;-1;18;Outset;19;;85.39563;85.46234;1.784241;98.52122;13.10909;;;100.4455;12.60379;0;-1.371212;1.92424;-0.5053034;0.06671143;;;;1;SE;R;No;No;;R;57;S;E;True
11;1;22;FALSE;R;6;40;18;Center;19;;86.01672;86.06866;0.6210938;98.52122;53.10909;;;104.8712;54.26364;6.349998;1.154549;6.349998;1.154549;0.05194092;;;;1;SE;R;No;No;;R;58;S;E;True
11;1;22;FALSE;R;6;39.99999;18;Goal;19;;86.48016;86.52509;0.4634399;138.5212;53.10909;;;138.4492;54.35985;-0.360611;0.9621239;-0.07197571;1.250759;0.04492188;;;;1;SE;R;No;No;;R;59;S;E;True
11;1;22;FALSE;R;6;-1;18;Outset;20;;88.27686;88.33673;1.796692;58.52121;53.10909;;;60.10945;56.03199;1.130302;2.693943;1.588238;2.922905;0.05987549;;;;1;WW;R;No;No;;R;60;W;W;True
11;1;22;FALSE;R;6;40.00001;18;Center;20;;88.83209;88.88049;0.5552368;98.52122;53.10909;;;97.55909;56.28409;-0.9621277;2.886368;-0.9621277;3.174999;0.04840088;;;;1;WW;R;No;No;;R;61;W;W;True
11;1;22;FALSE;R;6;40.00001;18;Goal;20;;89.51373;89.56873;0.6816406;58.52121;53.10909;;;59.84394;49.45303;1.322727;-4.233334;1.322727;-3.656059;0.05499268;;;;1;WW;R;No;No;;R;62;W;W;True
