ID;StudyID;LogID;UserID;Time;TouchID;TouchX;TouchY;TouchDeltaX;TouchDeltaY;FirstTouchX;FirstTouchY;AccelerationX,AccelerationY;AccelerationZ;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp;Potition
 ;12;69;9;26.76709;36;102.033;41.90038;-0.2405319;-0.2405281;102.2735;42.14091;0.00817119;0.01341539;-0.9576147;89.51116;89.19741;179.0602;2019/08/07 11:08:58;C
 ;12;70;9;28.44678;37;65.49258;73.79469;0;0;65.49258;73.79469;0.007317483;0.01463497;-0.9527363;89.56;89.11997;179.016;2019/08/07 11:09:00;C
 ;12;71;9;28.61475;38;101.6;76.77727;0;0;101.6;76.77727;0.008659022;0.01853763;-0.9300522;89.46667;88.85818;178.7398;2019/08/07 11:09:00;C
 ;12;72;9;28.64844;38;101.2786;76.68106;-0.3213959;-0.09620667;101.6;76.77727;0.009024897;0.01841567;-1.039814;89.50279;88.9854;178.8703;2019/08/07 11:09:00;C
 ;12;73;9;28.91699;39;103.8129;34.925;0;0;103.8129;34.925;0.007439442;0.01622042;-0.9302961;89.54189;89.00113;178.901;2019/08/07 11:09:00;C
 ;12;74;9;30.56299;40;131.6182;77.54697;0;0;131.6182;77.54697;0.002317203;0.01414714;-0.9440773;89.85938;89.14148;179.13;2019/08/07 11:09:02;C
 ;12;75;9;30.59668;40;131.6182;77.45076;0;-0.09620667;131.6182;77.54697;0.006829652;0.01609846;-0.9917629;89.60549;89.07007;178.9899;2019/08/07 11:09:02;C
 ;12;76;9;30.73096;41;100.3492;75.62273;0;0;100.3492;75.62273;0.01744;0.02439161;-0.9748108;88.97536;88.56687;178.2382;2019/08/07 11:09:02;C
 ;12;77;9;30.76367;41;100.3492;75.62273;0;0;100.3492;75.62273;0.006219861;0.01756196;-0.9728594;89.63375;88.96584;178.9028;2019/08/07 11:09:02;C
 ;12;78;9;30.96533;42;100.6379;111.0288;0;0;100.6379;111.0288;0.007317483;0.01292755;-0.8809031;89.52411;89.15925;179.0339;2019/08/07 11:09:02;C
 ;12;79;9;30.99902;42;100.7216;111.0288;0.08375549;0;100.6379;111.0288;0.007073568;0.01304951;-0.8330955;89.51359;89.10263;178.9793;2019/08/07 11:09:02;C
 ;12;80;9;32.64453;43;59.45909;75.23788;0;0;59.45909;75.23788;0.005244196;0.01804979;-0.9931045;89.69749;88.95877;178.9157;2019/08/07 11:09:04;C
 ;12;81;9;32.67822;43;59.81308;75.14166;0.3539886;-0.09621429;59.45909;75.23788;0.01000056;0.01829371;-0.9942021;89.42378;88.9459;178.7986;2019/08/07 11:09:04;C
 ;12;82;9;32.71191;43;60.77908;75.96709;0.9659996;0.8254318;59.45909;75.23788;0.0075614;0.01695217;-0.9932264;89.56387;89.02221;178.9294;2019/08/07 11:09:04;C
 ;12;83;9;32.74561;43;61.92742;79.28872;1.148346;3.321625;59.45909;75.23788;0.006341819;0.01768392;-0.988714;89.63255;88.97535;178.9114;2019/08/07 11:09:04;C
 ;12;84;9;32.94727;44;101.6962;75.91136;0;0;101.6962;75.91136;0.009756644;0.01756196;-1.000056;89.44112;88.99398;178.849;2019/08/07 11:09:04;C
 ;12;85;9;32.98096;44;101.6922;76.09567;-0.004058838;0.1843109;101.6962;75.91136;-0.0006097903;0.01731804;-0.9960315;90.03507;89.00389;179.0032;2019/08/07 11:09:04;C
 ;12;86;9;33.18262;45;102.2735;114.6848;0;0;102.2735;114.6848;0.008415106;0.02195245;-1.09872;89.56126;88.85541;178.7741;2019/08/07 11:09:04;C
 ;12;87;9;34.92871;46;100.3492;112.8568;0;0;100.3492;112.8568;0.007439442;0.01853763;-1.012008;89.57888;88.95061;178.8691;2019/08/07 11:09:06;C
 ;12;88;9;35.26416;47;99.57954;76.58485;0;0;99.57954;76.58485;-0.01731804;0.008537063;-1.367394;90.72559;89.64231;179.1911;2019/08/07 11:09:07;C
