ID;StudyID;UserID;Age;Gender;PlayingHand;DominantHand;LongNails;DominantEye;Potition;TargetID;TargetSize;TargetDistance;ColliderSize;HitType;Outset;Goal;MistakeOccured;TargetCombition;RoundID;Repetition;Clockwise;TouchID;CrossTargets;Delay;ConditionID;TouchTime;LiftTime;DeltaHitTime;TargetX;TargetY;TouchX;TouchY;TouchOffsetX;TouchOffsetY;LiftX;LiftY;LiftOffsetX;LiftOffsetY;TouchDuration;TouchDeltaX;TouchDeltaY;RotationDegreeX;RotationDegreeY;RotationDegreeZ;TimeStamp
;12;13;23;M;R;R;No;R;C;16;7.2;39.99999;21.6;Goal;S;E;No;SE;;;;50;False;1;;57.32227;57.38965;0.6386719;138.5212;73.89091;140.5659;74.56439;2.044693;0.6734848;140.4697;74.37196;1.948486;0.4810562;0.06738281;;;89.62501;88.7688;178.7131;2019-08-07 13:00:12
;12;13;23;M;R;R;No;R;C;17;7.2;-1;21.6;Outset;E;W;No;EW;;;;51;False;1;;59.33789;59.40527;2.015625;138.5212;73.89091;139.3152;72.91525;0.7939453;-0.9756622;139.3152;72.64015;0.7939453;-1.250755;0.06738281;;;89.69062;88.78353;178.7448;2019-08-07 13:00:14
;12;13;23;M;R;R;No;R;C;17;7.2;39.99999;21.6;Center;E;W;No;EW;;;;52;False;1;;59.94336;60.07715;0.6054688;98.52122;73.89091;94.28788;75.62273;-4.233337;1.731819;94.19167;74.85303;-4.329552;0.9621201;0.1337891;;;89.40221;89.22639;179.0222;2019-08-07 13:00:15
;12;13;23;M;R;R;No;R;C;17;7.2;40.00001;21.6;Goal;E;W;No;EW;;;;53;False;1;;60.61523;60.68262;0.671875;58.52121;73.89091;58.20834;72.44772;-0.3128738;-1.443184;58.11212;72.9958;-0.4090919;-0.8951111;0.06738281;;;89.71756;89.32921;179.2723;2019-08-07 13:00:15
;12;13;23;M;R;R;No;R;C;18;7.2;-1;21.6;Outset;W;E;No;WE;;;;54;False;1;;62.49707;62.56445;1.881836;58.52121;73.89091;57.65601;73.24237;-0.8651962;-0.6485367;57.63106;73.025;-0.8901482;-0.8659058;0.06738281;;;89.63889;89.06535;178.9979;2019-08-07 13:00:17
;12;13;23;M;R;R;No;R;C;18;7.2;40.00001;21.6;Center;W;E;No;WE;;;;55;False;1;;63.16895;63.26953;0.671875;98.52122;73.89091;100.9265;74.17954;2.405296;0.2886353;99.76723;74.28521;1.246017;0.3943024;0.1005859;;;89.85922;89.04974;179.0394;2019-08-07 13:00:18
;12;13;23;M;R;R;No;R;C;18;7.2;39.99999;21.6;Goal;W;E;No;WE;;;;56;False;1;;63.875;63.94238;0.7060547;138.5212;73.89091;137.6795;74.17954;-0.8416748;0.2886353;137.872;74.56439;-0.649231;0.6734848;0.06738281;;;89.72395;89.22138;179.1738;2019-08-07 13:00:19
;12;13;23;M;R;R;No;R;C;19;7.2;-1;21.6;Outset;S;N;No;SN;;;;57;False;1;;65.75684;65.85742;1.881836;98.52122;33.89091;101.4227;32.82341;2.901436;-1.067493;100.253;32.13485;1.731812;-1.756062;0.1005859;;;89.44489;89.19192;179.0194;2019-08-07 13:00:21
;12;13;23;M;R;R;No;R;C;19;7.2;40;21.6;Center;S;N;No;SN;;;;58;False;1;;66.5293;66.59668;0.7724609;98.52122;73.89091;99.29091;75.62273;0.7696915;1.731819;99.19469;75.23788;0.6734772;1.34697;0.06738281;;;89.47322;88.63027;178.5324;2019-08-07 13:00:21
;12;13;23;M;R;R;No;R;C;19;7.2;40.00001;21.6;Goal;S;N;No;SN;;;;59;False;1;;67.37012;67.40332;0.8408203;98.52122;113.8909;99.67576;113.5303;1.154541;-0.360611;99.48334;113.7227;0.9621201;-0.1681976;0.03320313;;;89.63528;88.727;178.6759;2019-08-07 13:00:22
;12;13;23;M;R;R;No;R;C;20;7.2;-1;21.6;Outset;W;W;No;WW;;;;60;False;1;;69.18457;69.28516;1.814453;58.52121;73.89091;58.40076;73.31364;-0.1204529;-0.5772705;58.40076;73.12122;-0.1204529;-0.7696915;0.1005859;;;89.79557;89.09062;179.0681;2019-08-07 13:00:24
;12;13;23;M;R;R;No;R;C;20;7.2;40.00001;21.6;Miss;W;W;Miss;WW;;;;61;False;1;;69.68848;69.72168;0.5039063;98.52122;73.89091;107.8538;80.32879;9.332565;6.437881;107.95;80.24091;9.42878;6.350006;0.03320313;;;89.47154;88.90077;178.7803;2019-08-07 13:00:24
;12;13;23;M;R;R;No;R;C;20;7.2;40.00001;21.6;Center;W;W;Miss;WW;;;;62;False;1;;70.05762;70.15918;0.3691406;98.52122;73.89091;99.48334;75.52651;0.9621201;1.635605;99.48334;75.23788;0.9621201;1.34697;0.1015625;;;89.7617;89.229;179.193;2019-08-07 13:00:25
;12;13;23;M;R;R;No;R;C;20;7.2;40.00001;21.6;Goal;W;W;Miss;WW;;;;63;False;1;;70.96582;70.99902;0.9082031;58.52121;73.89091;61.67197;75.04546;3.150757;1.154549;61.57576;75.04546;3.05455;1.154549;0.03320313;;;89.31145;88.91796;178.7173;2019-08-07 13:00:26
;12;13;23;M;R;R;No;R;C;21;7.2;-1;21.6;Outset;W;N;No;WN;;;;64;False;1;;72.74609;72.88086;1.780273;58.52121;73.89091;55.32197;74.17954;-3.199242;0.2886353;55.81123;73.50607;-2.709984;-0.3848419;0.1347656;;;89.71091;88.98466;178.9444;2019-08-07 13:00:28
